Marca temporal,¿Qué tan probable crees que la Inteligencia Artificial cambiará significativamente el ámbito de la informática en los próximos 5 años?,¿Apoyas la integración de tecnologías basadas en IA en el desarrollo de software y sistemas informáticos?,¿Consideras que la IA podría reemplazar ciertos roles dentro de la ingeniería informática?,¿Con qué frecuencia utiliza Chatbots para obtener ayuda para realizar su trabajo?,¿Te preocupa que la evolución de la IA haga obsoletas algunas habilidades de ingeniería informática?,¿Consideras necesaria una regulación ética específica para el uso de IA en el desarrollo de sistemas informáticos?,¿Cómo impactan las nuevas herramientas basadas en IA en tu trabajo diario?,¿Qué tan dispuesto estás a aprender nuevas habilidades relacionadas con la IA para adaptarte a su uso en la ingeniería informática?,¿Consideras que la IA representará más riesgos o beneficios para la sociedad en general dentro de la informática?
31/01/2025 11:57:26,Bastante probable,"Sí, en bastantes casos","Sí, en algunas áreas",En bastantes ocasiones,Apenas me preocupa,"No, solo en algunos aspectos puntuales",Es una herramienta más,Bastante dispuesto,Un equilibrio entre ambos
31/01/2025 12:13:22,Con certeza,"Sí, totalmente","Sí, en todas las áreas",Constantemente,"Sí, me preocupa algo","Sí, pero debería ser flexible",Mejoran mi productividad,Totalmente dispuesto,Un equilibrio entre ambos
31/01/2025 12:14:38,Bastante probable,"Sí, en bastantes casos","No, solamente complementará el trabajo",En algunas ocasiones,"Sí, me preocupa algo","No, solo en algunos aspectos puntuales",Es una herramienta más,Bastante dispuesto,Más beneficios
31/01/2025 12:16:57,Con certeza,"Sí, en algunos casos","Sí, en algunas áreas",En bastantes ocasiones,"Sí, me preocupa algo","Sí, pero debería ser flexible",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
31/01/2025 12:25:17,Con certeza,"Sí, totalmente","Sí, en algunas áreas",Constantemente,"Sí, me preocupa algo","No, solo en algunos aspectos puntuales",Mejoran mi productividad,Totalmente dispuesto,Un equilibrio entre ambos
31/01/2025 12:37:23,Con certeza,"Sí, en bastantes casos","No, solamente complementará el trabajo",En bastantes ocasiones,"No, en absoluto","Sí, pero debería ser flexible",Mejoran mi productividad,Bastante dispuesto,Más beneficios
31/01/2025 12:39:25,Con certeza,"Sí, en bastantes casos","No, solamente complementará el trabajo",En ocasiones puntuales,Apenas me preocupa,"Sí, pero debería ser flexible",Es una herramienta más,Totalmente dispuesto,Más beneficios
31/01/2025 12:40:51,Algo Probable,"Sí, en algunos casos","No, solamente complementará el trabajo",En ocasiones puntuales,"Sí, me preocupa algo","Sí, es fundamental",Es una herramienta más,Bastante dispuesto,Un equilibrio entre ambos
31/01/2025 12:46:37,Bastante probable,"Sí, en bastantes casos","Sí, en algunas áreas",En ocasiones puntuales,"Sí, me preocupa algo","No, solo en algunos aspectos puntuales",No afectan mi trabajo,Algo dispuesto,Más beneficios
31/01/2025 13:03:30,Con certeza,"Sí, en bastantes casos","Sí, en algunas áreas",Constantemente,Apenas me preocupa,"Sí, es fundamental",Es una herramienta más,Bastante dispuesto,Más riesgos
31/01/2025 13:10:31,Con certeza,"Sí, en algunos casos","No, solamente complementará el trabajo",Nunca,"No, en absoluto","Sí, es fundamental",Es una herramienta más,Totalmente dispuesto,Un equilibrio entre ambos
31/01/2025 15:45:22,Bastante probable,"Sí, totalmente","Sí, en bastantes áreas",En algunas ocasiones,Apenas me preocupa,"No, solo en algunos aspectos puntuales",Es una herramienta más,Totalmente dispuesto,Más beneficios
31/01/2025 15:47:10,Con certeza,"Sí, totalmente","Sí, en bastantes áreas",En bastantes ocasiones,"Sí, me preocupa algo","Sí, pero debería ser flexible",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
31/01/2025 15:57:51,Bastante probable,"Sí, en bastantes casos","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa bastante","Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Más riesgos
31/01/2025 16:25:59,Con certeza,"Sí, en algunos casos","Sí, en bastantes áreas",En algunas ocasiones,"Sí, me preocupa algo","Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Un equilibrio entre ambos
